
 name                                        value               environments                        created     
 RESEND_API_KEY                              Encrypted           Preview, Production                 18d ago     
 FIREBASE_PRIVATE_KEY                        Encrypted           Production                          19d ago     
 OPENAI_API_KEY                              Encrypted           Production, Preview, Development    95d ago     
 OPENAI_DOCUMENT_MODEL                       Encrypted           Development, Preview, Production    95d ago     
 OPENAI_TENDER_MODEL                         Encrypted           Development, Preview, Production    95d ago     
 FIREBASE_PRIVATE_KEY                        Encrypted           Preview, Development                121d ago    
 FIREBASE_STORAGE_BUCKET                     Encrypted           Production, Preview, Development    123d ago    
 FIREBASE_PROJECT_ID                         Encrypted           Production, Preview, Development    124d ago    
 NEXT_PUBLIC_DOLIBARR_API_URL                Encrypted           Production, Preview, Development    124d ago    
 FIREBASE_CLIENT_EMAIL                       Encrypted           Production, Preview, Development    124d ago    
 NEXT_PUBLIC_FIREBASE_PROJECT_ID             Encrypted           Production, Preview, Development    192d ago    
 NEXT_PUBLIC_FIREBASE_STORAGE_BUCKET         Encrypted           Production, Preview, Development    192d ago    
 NEXT_PUBLIC_FIREBASE_MESSAGING_SENDER_ID    Encrypted           Production, Preview, Development    192d ago    
 NEXT_PUBLIC_FIREBASE_APP_ID                 Encrypted           Production, Preview, Development    192d ago    
 NEXT_PUBLIC_FIREBASE_API_KEY                Encrypted           Production, Preview, Development    192d ago    
 NEXT_PUBLIC_FIREBASE_AUTH_DOMAIN            Encrypted           Production, Preview, Development    192d ago    

