Field Name,Current X,Current Y,Width,Height
signature_name,,,,
company_name,144.02,426.67,423.07,14.52
postal_address,144.02,409.15,423.07,21.70
street_address,144.02,391.63,423.07,14.64
telephone,433.82,359.03,130.00,15.00
email,28.32,352.87,260.00,15.00
registration_number,144.02,269.94,423.07,14.68
vat_number,144.02,241.25,423.07,21.84
tax_pin,227.57,182.54,70.08,14.54
csd_number,436.00,181.80,131.00,15.00
foreign_supplier_no,208.00,164.00,10.00,10.00
foreign_supplier_yes,170.00,164.00,10.00,10.00
bbbee_status,148.00,148.00,144.00,14.00
supplier_type_pty_ltd,148.00,108.00,10.00,10.00
date,430.00,76.00,120.00,15.00
